IPUMS Code	IPUMS Title	ONET Title	R	I	A	S	E	C
10	Chief executives and legislators/public administration	Chief Executives	1.33	2.0	2.67	3.67	7.0	5.33
10	Chief executives and legislators/public administration	Legislators	1.0	3.67	3.67	4.67	7.0	3.0
20	General and Operations Managers	General and Operations Managers	1.33	1.33	1.0	3.33	7.0	3.67
30	Managers in Marketing, Advertising, and Public Relations	Brownfield Redevelopment Specialists and Site Managers	3.0	5.33	2.0	1.67	6.67	4.67
30	Managers in Marketing, Advertising, and Public Relations	First-Line Supervisors of Non-Retail Sales Workers	2.33	2.0	1.67	4.33	7.0	5.33
100	Administrative Services Managers	Administrative Services Managers	2.0	2.33	1.0	2.67	7.0	5.33
110	Computer and Information Systems Managers	Computer and Information Systems Managers	4.0	4.33	1.67	1.67	6.67	5.33
120	Financial Managers	Financial Managers, Branch or Department	1.67	1.67	1.33	3.33	7.0	5.0
130	Human Resources Managers	Human Resources Managers	1.33	2.33	2.33	5.67	7.0	5.0
140	Industrial Production Managers	Industrial Production Managers	2.67	2.33	1.33	3.33	7.0	6.0
150	Purchasing Managers	Purchasing Managers	2.67	2.0	1.33	2.67	7.0	5.33
220	Constructions Managers	Construction Managers	5.67	2.0	1.33	2.0	7.0	4.67
230	Education Administrators	Education Administrators, Preschool and Childcare Center/Program	1.0	1.67	2.67	6.0	6.0	4.0
300	Architectural and Engineering Managers	Architectural and Engineering Managers	4.67	4.67	1.67	1.33	7.0	4.0
310	Food Service and Lodging Managers	Lodging Managers	3.0	1.67	1.33	4.0	7.0	5.33
320	Funeral Directors	Morticians, Undertakers, and Funeral Directors	3.0	1.0	1.67	5.33	7.0	4.33
330	Gaming Managers	Gaming Managers	3.33	2.0	1.67	3.0	7.0	5.0
350	Medical and Health Services Managers	Medical and Health Services Managers	1.67	3.33	1.67	5.0	7.0	5.0
360	Natural Science Managers	Natural Sciences Managers	3.0	5.33	1.33	1.67	7.0	3.0
410	Property, Real Estate, and Community Association Managers	Property, Real Estate, and Community Association Managers	3.0	1.0	1.33	3.67	7.0	5.67
420	Social and Community Service Managers	Social and Community Service Managers	1.0	1.33	2.67	6.0	6.67	3.33
430	Managers (including Postmasters)	Brownfield Redevelopment Specialists and Site Managers	3.0	5.33	2.0	1.67	6.67	4.67
430	Managers (including Postmasters)	Postmasters and Mail Superintendents	3.0	1.67	1.0	4.33	7.0	5.67
500	Agents and Business Managers of Artists, Performers, and Athletes	Agents and Business Managers of Artists, Performers, and Athletes	1.33	1.33	3.0	4.33	7.0	4.67
510	Buyers and Purchasing Agents, Farm Products	Buyers and Purchasing Agents, Farm Products	4.0	1.33	1.67	2.67	6.33	6.0
520	Wholesale and Retail Buyers, Except Farm Products	Wholesale and Retail Buyers, Except Farm Products	3.33	2.0	1.33	2.33	7.0	5.67
530	Purchasing Agents, Except Wholesale, Retail, and Farm Products	Purchasing Agents, Except Wholesale, Retail, and Farm Products	3.67	2.67	1.0	2.0	6.33	6.67
600	Cost Estimators	Cost Estimators	3.0	2.67	1.0	1.33	6.0	6.0
620	Human Resources, Training, and Labor Relations Specialists	Labor Relations Specialists	1.0	3.0	2.33	4.33	6.33	4.67
700	Logisticians	Logisticians	2.33	2.33	1.33	3.33	7.0	5.67
710	Management Analysts	Management Analysts	1.33	6.33	1.67	2.33	6.0	4.33
720	Meeting and Convention Planners	Meeting, Convention, and Event Planners	1.67	1.33	2.33	4.33	7.0	5.0
800	Accountants and Auditors	Accountants	1.33	3.0	1.0	1.67	4.0	7.0
810	Appraisers and Assessors of Real Estate	Assessors	3.0	3.67	1.0	1.33	5.33	5.67
820	Budget Analysts	Budget Analysts	1.67	4.0	1.33	2.33	5.67	7.0
830	Credit Analysts	Credit Analysts	2.67	3.0	1.0	3.0	5.33	7.0
840	Financial Analysts	Financial Analysts	2.67	5.67	2.33	1.0	5.0	6.67
850	Personal Financial Advisors	Personal Financial Advisors	1.0	3.0	1.33	3.67	6.67	5.67
860	Insurance Underwriters	Insurance Underwriters	1.33	3.33	1.0	2.33	4.67	6.33
900	Financial Examiners	Financial Examiners	1.33	3.0	1.33	2.0	6.67	5.67
910	Credit Counselors and Loan Officers	Credit Counselors	1.0	2.33	2.0	5.33	5.33	5.33
910	Credit Counselors and Loan Officers	Loan Officers	1.0	2.67	1.0	4.0	6.0	6.67
930	Tax Examiners and Collectors, and Revenue Agents	Tax Examiners and Collectors, and Revenue Agents	2.67	2.0	1.0	3.33	5.67	7.0
940	Tax Preparers	Tax Preparers	1.67	1.33	1.0	2.67	4.67	7.0
