IPUMS Title	ONET Title
Chief executives and legislators/public administration	Chief Executives
Chief executives and legislators/public administration	Legislators
General and Operations Managers	General and Operations Managers
Managers in Marketing, Advertising, and Public Relations	Brownfield Redevelopment Specialists and Site Managers
Managers in Marketing, Advertising, and Public Relations	First-Line Supervisors of Non-Retail Sales Workers
Administrative Services Managers	Administrative Services Managers
Computer and Information Systems Managers	Computer and Information Systems Managers
Financial Managers	Financial Managers
Financial Managers	Financial Managers, Branch or Department
Human Resources Managers	Human Resources Managers
Industrial Production Managers	Industrial Production Managers
Purchasing Managers	Purchasing Managers
Transportation, Storage, and Distribution Managers	Transportation, Storage, and Distribution Managers
Farmers, Ranchers, and Other Agricultural Managers	Farmers, Ranchers, and Other Agricultural Managers
Constructions Managers	Construction Managers
Education Administrators	Education Administrators, All Other
Education Administrators	Education Administrators, Preschool and Childcare Center/Program
Architectural and Engineering Managers	Architectural and Engineering Managers
Food Service and Lodging Managers	Lodging Managers
Funeral Directors	Morticians, Undertakers, and Funeral Directors
Gaming Managers	Gaming Managers
Medical and Health Services Managers	Medical and Health Services Managers
Natural Science Managers	Natural Sciences Managers
Property, Real Estate, and Community Association Managers	Property, Real Estate, and Community Association Managers
Social and Community Service Managers	Social and Community Service Managers
Managers (including Postmasters)	Postmasters and Mail Superintendents
Managers (including Postmasters)	Brownfield Redevelopment Specialists and Site Managers
Agents and Business Managers of Artists, Performers, and Athletes	Agents and Business Managers of Artists, Performers, and Athletes
Buyers and Purchasing Agents, Farm Products	Buyers and Purchasing Agents, Farm Products
Wholesale and Retail Buyers, Except Farm Products	Wholesale and Retail Buyers, Except Farm Products
Purchasing Agents, Except Wholesale, Retail, and Farm Products	Purchasing Agents, Except Wholesale, Retail, and Farm Products
Claims Adjusters, Appraisers, Examiners, and Investigators	Claims Adjusters, Examiners, and Investigators
Compliance Officers, Except Agriculture	Compliance Officers
Cost Estimators	Cost Estimators
Human Resources, Training, and Labor Relations Specialists	Labor Relations Specialists
Logisticians	Logisticians
Management Analysts	Management Analysts
Meeting and Convention Planners	Meeting, Convention, and Event Planners
Other Business Operations and Management Specialists	Business Operations Specialists, All Other
Accountants and Auditors	Accountants and Auditors
Accountants and Auditors	Accountants
Appraisers and Assessors of Real Estate	Appraisers and Assessors of Real Estate
Appraisers and Assessors of Real Estate	Assessors
Budget Analysts	Budget Analysts
Credit Analysts	Credit Analysts
Financial Analysts	Financial Analysts
Personal Financial Advisors	Personal Financial Advisors
Insurance Underwriters	Insurance Underwriters
Financial Examiners	Financial Examiners
Credit Counselors and Loan Officers	Credit Counselors
Credit Counselors and Loan Officers	Loan Officers
Tax Examiners and Collectors, and Revenue Agents	Tax Examiners and Collectors, and Revenue Agents
Tax Preparers	Tax Preparers
Financial Specialists	Financial Specialists, All Other
Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers	Web Developers
Computer Programmers	Computer Programmers
Software Developers, Applications and Systems Software	Software Developers, Systems Software
Software Developers, Applications and Systems Software	Software Developers, Applications
Computer Support Specialists	Computer User Support Specialists
Computer Support Specialists	Computer Network Support Specialists
Database Administrators	Database Administrators
Network and Computer Systems Administrators	Network and Computer Systems Administrators
Actuaries	Actuaries
Operations Research Analysts	Operations Research Analysts
Statisticians	Statisticians
Statisticians	Biostatisticians
Mathematical science occupations	Mathematical Science Occupations, All Other
Architects, Except Naval	Computer Systems Engineers/Architects
Architects, Except Naval	Architects, Except Landscape and Naval
Surveyors, Cartographers, and Photogrammetrists	Cartographers and Photogrammetrists
Surveyors, Cartographers, and Photogrammetrists	Surveyors
Aerospace Engineers	Aerospace Engineers
Chemical Engineers	Chemical Engineers
Chemical Engineers	Biochemical Engineers
Civil Engineers	Civil Engineers
