ONET Title	R	I	A	S	E	C
Chief Executives	1.33	2.0	2.67	3.67	7.0	5.33
Chief Sustainability Officers	1.0	4.33	2.67	2.33	7.0	4.33
General and Operations Managers	1.33	1.33	1.0	3.33	7.0	3.67
Legislators	1.0	3.67	3.67	4.67	7.0	3.0
Advertising and Promotions Managers	1.67	2.0	5.33	2.33	7.0	4.67
Green Marketers	1.0	5.33	4.33	2.33	5.33	3.0
Marketing Managers	1.0	2.33	3.67	2.67	7.0	5.33
Sales Managers	3.0	2.0	2.0	3.67	7.0	4.67
Public Relations and Fundraising Managers	1.33	1.33	5.0	3.67	7.0	3.67
Administrative Services Managers	2.0	2.33	1.0	2.67	7.0	5.33
Computer and Information Systems Managers	4.0	4.33	1.67	1.67	6.67	5.33
Treasurers and Controllers	1.67	2.67	1.0	2.67	6.0	7.0
Financial Managers, Branch or Department	1.67	1.67	1.33	3.33	7.0	5.0
Industrial Production Managers	2.67	2.33	1.33	3.33	7.0	6.0
Quality Control Systems Managers	4.33	3.33	1.33	2.0	7.0	5.67
Geothermal Production Managers	3.67	3.33	2.0	1.67	7.0	5.67
Biofuels Production Managers	4.0	3.33	1.33	2.0	7.0	5.67
Biomass Power Plant Managers	5.0	3.0	1.33	2.0	7.0	5.67
Methane/Landfill Gas Collection System Operators	4.67	3.0	1.67	1.33	5.33	6.67
Hydroelectric Production Managers	3.67	3.0	1.33	1.33	7.0	5.67
Purchasing Managers	2.67	2.0	1.33	2.67	7.0	5.33
Transportation Managers	2.67	2.0	1.67	2.0	7.0	5.33
Storage and Distribution Managers	3.33	1.0	1.0	2.33	7.0	5.0
Logistics Managers	3.0	2.0	1.33	1.33	7.0	5.33
Compensation and Benefits Managers	1.0	1.33	1.67	4.67	7.0	5.33
Human Resources Managers	1.33	2.33	2.33	5.67	7.0	5.0
Training and Development Managers	1.33	2.0	3.67	6.0	7.0	4.0
Nursery and Greenhouse Managers	6.0	2.33	2.67	2.67	7.0	4.67
Farm and Ranch Managers	6.67	2.67	1.33	1.67	7.0	5.0
Aquacultural Managers	6.0	3.67	1.67	1.67	7.0	4.67
Construction Managers	5.67	2.0	1.33	2.0	7.0	4.67
Education Administrators, Preschool and Childcare Center/Program	1.0	1.67	2.67	6.0	6.0	4.0
Education Administrators, Elementary and Secondary School	1.33	2.0	2.67	6.33	6.67	4.33
Education Administrators, Postsecondary	1.0	3.0	3.0	4.67	7.0	5.0
Distance Learning Coordinators	1.33	3.33	2.67	2.33	6.0	4.67
Fitness and Wellness Coordinators	3.67	2.67	2.33	4.67	6.67	3.33
Architectural and Engineering Managers	4.67	4.67	1.67	1.33	7.0	4.0
Biofuels/Biodiesel Technology and Product Development Managers	3.0	6.0	1.67	2.0	6.67	3.33
Food Service Managers	4.33	1.67	1.67	4.33	7.0	5.33
Funeral Service Managers	1.33	2.0	2.0	4.33	7.0	4.67
Gaming Managers	3.33	2.0	1.67	3.0	7.0	5.0
Lodging Managers	3.0	1.67	1.33	4.0	7.0	5.33
Medical and Health Services Managers	1.67	3.33	1.67	5.0	7.0	5.0
Natural Sciences Managers	3.0	5.33	1.33	1.67	7.0	3.0
Clinical Research Coordinators	1.33	5.33	2.67	2.0	6.33	4.33
Water Resource Specialists	2.67	6.67	2.0	1.67	4.33	4.0
Postmasters and Mail Superintendents	3.0	1.67	1.0	4.33	7.0	5.67
Property, Real Estate, and Community Association Managers	3.0	1.0	1.33	3.67	7.0	5.67
Social and Community Service Managers	1.0	1.33	2.67	6.0	6.67	3.33
Emergency Management Directors	3.67	3.0	2.0	6.33	5.67	3.67
Regulatory Affairs Managers	1.67	2.0	1.67	3.33	7.0	5.33
Compliance Managers	3.67	3.67	1.33	1.67	5.33	5.67
Investment Fund Managers	1.0	1.67	1.0	2.67	7.0	4.67
Supply Chain Managers	2.67	2.0	1.67	2.33	7.0	4.67
Security Managers	3.33	3.0	1.33	1.33	7.0	5.0
