i0	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i31	i32	i33	i34	i35	i36	i37	i38	i39	i40	i41	
01000	5	1011	53	0	2019	3		1862	18993	18869	18937	261914855	18419499	290809	1064		1.05	0.68	0.68	0.69	0.78	0.45	0.36	1.14		11	0.6	746	4.1	739	4.1	618	3.4	11479424	4.6	2258037	14.0	-27173	-8.5	7	0.7	
02000	5	1011	53	0	2019	3		552	15407	15410	15120	455570772	85289089	1357250	2289		1.81	3.22	3.25	3.26	6.60	1.88	1.23	2.04		24	4.5	897	6.2	842	5.8	909	6.4	30831072	7.3	10974787	14.8	151080	12.5	25	1.1	
04000	5	1011	53	0	2019	3		1378	31060	29765	33070	425421533	30573179	1460767	1046		0.60	0.79	0.74	0.83	0.79	0.55	1.00	1.01		44	3.3	-114	-0.4	-649	-2.1	387	1.2	-11254967	-2.6	-919586	-2.9	-296848	-16.9	-23	-2.2	
05000	5	1011	53	0	2019	3		2585	16533	16391	16363	198374837	21586608	608201	929		2.06	1.00	0.98	0.98	1.07	0.69	0.82	1.09		60	2.4	-30	-0.2	57	0.3	116	0.7	7515290	3.9	854881	4.1	-38699	-6.0	33	3.7	
06000	5	1011	53	0	2019	3		17909	492427	505790	498388	4973004601	1202058018	65955891	767		0.82	2.00	2.06	2.05	1.17	3.39	2.94	0.58		226	1.3	-1336	-0.3	6779	1.4	3819	0.8	201482351	4.2	50327380	4.4	3093939	4.9	27	3.6	
08000	5	1011	53	0	2019	3		3301	50720	50332	49993	1015275855	106940892	2124474	1551		1.15	1.30	1.31	1.33	1.71	0.92	0.83	1.30		18	0.5	2623	5.5	2431	5.1	1745	3.6	75863597	8.1	4384462	4.3	-192407	-8.3	48	3.2	
09000	5	1011	53	0	2019	3		436	5919	6161	5964	58270640	16700300	685540	745		0.26	0.25	0.27	0.26	0.15	0.30	0.24	0.59		-9	-2.0	-201	-3.3	-147	-2.3	-164	-2.7	1633477	2.9	-811258	-4.6	-54108	-7.3	41	5.8	
10000	5	1011	53	0	2019	3		179	1761	1793	1672	15794126	6602042	68629	697		0.38	0.27	0.28	0.27	0.17	0.35	0.17	0.64		1	0.6	-59	-3.2	-133	-6.9	-143	-7.9	-606843	-3.7	889646	15.6	-30135	-30.5	16	2.3	
12000	5	1011	53	0	2019	3		5324	59797	59285	61361	546313812	55930728	403897	699		0.54	0.49	0.48	0.51	0.35	0.34	0.22	0.72		24	0.5	1335	2.3	1913	3.3	439	0.7	16299195	3.1	-1005843	-1.8	-66972	-14.2	7	1.0	
13000	5	1011	53	0	2019	3		2643	29943	28667	28957	313206586	41040979	552917	825		0.67	0.47	0.46	0.47	0.37	0.34	0.21	0.79		30	1.1	116	0.4	326	1.2	608	2.1	18390233	6.2	2875112	7.5	-2885	-0.5	39	5.0	
15000	5	1011	53	0	2019	3		520	5679	5854	5823	59399311	42017773	546512	790		0.85	0.62	0.65	0.65	0.49	0.50	0.39	0.77		18	3.6	85	1.5	60	1.0	-78	-1.3	2460116	4.3	1387620	3.4	11407	2.1	30	3.9	
16000	5	1011	53	0	2019	3		2587	28651	29383	30142	293580053	240877609	2172048	768		2.79	2.66	2.76	2.87	2.49	2.62	2.03	0.90		68	2.7	-50	-0.2	78	0.3	64	0.2	6666609	2.3	7854254	3.4	-103750	-4.6	16	2.1	
